protein_extract_5kgy_sample1,protein_extract_5kgy_sample2,protein_extract_5kgy_sample3,protein_extract_5kgy_sample4,protein_extract_5kgy_sample5,protein_extract_5kgy_sample6,protein_extract_5kgy_sample7,protein_extract_5kgy_sample8,protein_extract_5kgy_sample9
0.0005200000000000001,0.0005899999999999999,0.0002475,0.00017,-4e-05,-1.7500000000000002e-05,0.0005600000000000001,0.0004925,0.0003325
0.0005,0.00062,0.00026,0.00037,0.00014,0.00027,0.0005499999999999999,0.00046750000000000003,0.00031
0.0003275,0.00043250000000000005,0.000155,0.00039749999999999996,0.0002825,0.0004225,0.0004175,0.0002725,0.000235
0.00027749999999999997,0.00031749999999999997,8.750000000000001e-05,0.000265,0.000295,0.00033,0.00028250000000000004,8.999999999999999e-05,0.00017500000000000003
0.0004875,0.0004924999999999999,0.00019,0.00017999999999999998,0.000235,0.00021250000000000002,0.00022250000000000001,4.2499999999999996e-05,0.0001775
0.0005275,0.0005425,0.0002125,0.000155,0.00012250000000000002,0.00017250000000000002,0.000195,7e-05,0.000225
0.0003325,0.000365,7.999999999999999e-05,9.75e-05,9.999999999999999e-06,7.250000000000001e-05,0.0001075,6.25e-05,0.0002075
0.00028,0.00030000000000000003,1.9999999999999998e-05,0.0001475,4.75e-05,2.0000000000000012e-05,6.500000000000001e-05,0.0001375,0.00023749999999999997
0.00035999999999999997,0.00033,2.7499999999999998e-05,0.00041000000000000005,0.00022250000000000001,0.00017250000000000002,0.0001425,0.0002875,0.000375
0.000335,0.0002475,2.2500000000000005e-05,0.0006875,0.0004175,0.000405,0.0002025,0.00036,0.0004025
0.00030000000000000003,0.000175,0.00011,0.0007899999999999999,0.0005575,0.0005625000000000001,0.000195,0.00035,0.0002525
0.0003675,0.0002325,0.00027749999999999997,0.00073,0.00057,0.000585,0.00023750000000000003,0.00031749999999999997,0.00018250000000000002
0.00043,0.00029749999999999997,0.000345,0.000585,0.0004575,0.00048750000000000003,0.00044500000000000003,0.000435,0.00040249999999999997
0.0004925,0.0003525,0.0003375,0.0004575,0.00030250000000000003,0.000365,0.0007149999999999999,0.0006525,0.000735
0.0006125,0.0005275,0.0003475,0.0004075,0.00018500000000000002,0.00024249999999999999,0.0007525,0.0006624999999999999,0.0008475
