16_scans_mdi,24_scans_mdi,32_scans_mdi,48_scans_mdi,64_scans_mdi,72_scans_mdi
-0.011630590073764324,-0.01286864560097456,-0.012043530121445656,-0.01259960513561964,-0.012143383733928204,-0.012657360173761845
-0.012070877011865377,-0.011625169310718775,-0.012062122114002705,-0.011742400005459785,-0.01204201066866517,-0.012079982087016106
-0.011994697153568268,-0.012044149450957775,-0.019674723502248526,-0.011914982460439205,-0.01635265862569213,-0.012382393702864647
-0.011606601066887379,-0.012517471797764301,-0.012291072402149439,-0.012153072748333216,-0.012390577234327793,-0.011954039800912142
-0.011618169955909252,-0.011868245899677277,-0.011742743663489819,-0.011906650848686695,-0.011650490574538708,-0.011696163099259138
-0.01180036598816514,-0.01204970432445407,-0.012445915024727583,-0.011749704834073782,-0.012094018049538136,-0.011515744030475616
-0.012717143632471561,-0.01245993422344327,-0.012240210082381964,-0.01216811453923583,-0.011841696687042713,-0.012280695606023073
-0.011898948810994625,-0.012571707367897034,-0.01196713699027896,-0.012263936921954155,-0.012102850247174501,-0.011479495093226433
-0.012255039531737566,-0.01201219903305173,-0.011585974600166082,-0.012176197487860918,-0.011853426694869995,-0.011538976803421974
-0.012608625926077366,-0.011490584816783667,-0.011508342809975147,-0.012095066718757153,-0.012000998482108116,-0.012491796631366014
-0.013111714739352465,-0.011644006241112947,-0.011954167857766151,-0.013775583822280169,-0.01227775914594531,-0.011860618833452463
-0.011659839656203985,-0.012073876336216927,-0.01286069955676794,-0.011926889885216951,-0.0119822365231812,-0.012136547360569239
-0.011263065505772829,-0.011317459400743246,-0.012221679091453552,-0.012000230606645346,-0.01126881642267108,-0.011783994268625975
-0.011295467615127563,-0.012216107919812202,-0.011566430795937777,-0.011470051482319832,-0.011470543686300516,-0.012179912067949772
-0.012517466675490141,-0.011760861612856388,-0.013243658002465963,-0.011480229906737804,-0.011800837703049183,-0.011532461736351252
-0.01211547665297985,-0.012349221855401993,-0.011677161790430546,-0.011272291652858257,-0.012039753142744303,-0.012054975610226393
-0.011546969413757324,-0.011787815485149622,-0.012270546983927488,-0.011990043334662914,-0.011842727195471525,-0.012497035320848227
-0.01142867561429739,-0.012189808301627636,-0.011649428401142359,-0.01230622036382556,-0.011344442144036293,-0.012248908635228872
-0.012413428630679846,-0.01338497456163168,-0.013320180587470531,-0.01186205679550767,-0.012627756223082542,-0.012020159978419542
-0.013060932513326406,-0.012759325560182333,-0.011865056585520506,-0.011994276195764542,-0.011704390868544579,-0.011346928309649229
-0.011431626044213772,-0.011885715182870626,-0.012077433988451958,-0.011784207541495562,-0.011942093260586262,-0.012080767657607794
-0.01171602075919509,-0.011751329060643911,-0.011859631165862083,-0.01150235440582037,-0.011897959746420383,-0.011926247272640467
-0.013575328513979912,-0.012139078229665756,-0.0124579849652946,-0.012180620338767767,-0.011873792856931686,-0.01213744143024087
-0.012252148240804672,-0.012423602864146233,-0.013045330066233873,-0.012844009790569544,-0.012260837946087122,-0.012261553667485714
-0.013107342179864645,-0.012212140951305628,-0.013504274655133486,-0.012834952678531408,-0.012615386862307787,-0.012314687017351389
-0.015540395863354206,-0.012724025174975395,-0.012069273740053177,-0.012036213651299477,-0.012513679917901754,-0.011645994149148464
-0.012105231173336506,-0.011556557845324278,-0.011746801901608706,-0.01169986231252551,-0.011538233608007431,-0.011645386926829815
-0.011473126709461212,-0.01176112424582243,-0.011634040158241987,-0.011713328771293163,-0.011770045850425959,-0.012287118472158909
-0.012600007932633162,-0.012699611485004425,,-0.011985884048044682,-0.011442928109318018,
