wavenumber,2.5kGy_sn48_sample1,2.5kGy_sn48_sample2,2.5kGy_sn48_sample3,2.5kGy_sn48_sample4,2.5kGy_sn48_sample5,2.5kGy_sn48_sample6,2.5kGy_sn48_sample7,2.5kGy_sn48_sample8,2.5kGy_sn48_sample9
1378.25515,0.02141,0.01966,0.02036,0.01838,0.07083,0.01914,0.02102,0.06156,0.02098
1376.19497,0.02209,0.01994,0.02082,0.01882,0.07121,0.01924,0.02163,0.06226,0.02129
1374.1348,0.02268,0.02027,0.02115,0.01894,0.07153,0.01928,0.02189,0.06269,0.02145
1372.07463,0.02252,0.02061,0.0213,0.01895,0.07194,0.0195,0.02193,0.06238,0.02163
1370.01446,0.02245,0.02077,0.02132,0.01905,0.07226,0.01978,0.02204,0.06229,0.02182
1367.95429,0.02236,0.02076,0.02123,0.01914,0.07228,0.01981,0.02219,0.06232,0.02183
1365.89411,0.02198,0.02066,0.02102,0.01899,0.0721,0.01953,0.02221,0.06218,0.0216
1363.83394,0.02192,0.02034,0.02066,0.0185,0.07178,0.01905,0.0219,0.0624,0.02117
1361.77377,0.02146,0.01978,0.02016,0.01789,0.07131,0.01858,0.02126,0.06222,0.02066
1359.7136,0.0206,0.01928,0.01971,0.0175,0.07089,0.01829,0.02065,0.0616,0.02034
1357.65343,0.02036,0.019,0.01944,0.01736,0.07063,0.01819,0.02036,0.06145,0.02015
1355.59325,0.02053,0.01887,0.01929,0.01736,0.07045,0.01811,0.02029,0.06157,0.01996
1353.53308,0.02047,0.01882,0.01918,0.01743,0.07043,0.01796,0.02019,0.06157,0.01976
1351.47291,0.02024,0.01876,0.01915,0.01745,0.07061,0.01787,0.02006,0.06161,0.0196
1349.41274,0.02012,0.0186,0.01915,0.01734,0.0708,0.01788,0.01998,0.06174,0.01951
1347.35256,0.02004,0.01841,0.01908,0.01717,0.07089,0.01791,0.01993,0.06169,0.01952
1345.29239,0.01987,0.01831,0.01892,0.01712,0.07091,0.01788,0.01988,0.06151,0.01953
1343.23222,0.01975,0.01829,0.01878,0.01718,0.07084,0.01777,0.01983,0.06155,0.01947
1341.17205,0.02007,0.01828,0.01868,0.01712,0.07071,0.01752,0.01973,0.06209,0.01935
1339.11188,0.02031,0.0182,0.01857,0.01687,0.07064,0.01721,0.01958,0.06234,0.01919
1337.0517,0.01987,0.01811,0.01852,0.01665,0.07066,0.01718,0.01949,0.0619,0.01902
1334.99153,0.01945,0.01808,0.01856,0.01665,0.07076,0.01744,0.01949,0.06174,0.01894
1332.93136,0.01948,0.01814,0.01861,0.01676,0.07094,0.01767,0.01954,0.06207,0.01899
1330.87119,0.01973,0.01825,0.01864,0.01689,0.07113,0.01778,0.01959,0.06235,0.0191
1328.81102,0.01998,0.01844,0.0187,0.01705,0.07126,0.01783,0.01965,0.06235,0.01925
1326.75084,0.02017,0.01872,0.0188,0.01723,0.07139,0.01781,0.01974,0.06228,0.01945
1324.69067,0.02021,0.01895,0.01894,0.01736,0.07161,0.01774,0.01984,0.06237,0.01965
1322.6305,0.02016,0.01901,0.01913,0.01743,0.07185,0.01763,0.01984,0.06265,0.01977
1320.57033,0.02022,0.01889,0.01932,0.01743,0.07196,0.01751,0.01971,0.06295,0.01982
1318.51015,0.02016,0.01866,0.01939,0.0173,0.07197,0.01745,0.01962,0.06294,0.01974
1316.44998,0.01989,0.01846,0.01925,0.01702,0.07195,0.01747,0.01957,0.06263,0.01952
1314.38981,0.01975,0.01835,0.01896,0.01665,0.07187,0.01746,0.01938,0.06251,0.01932
1312.32964,0.01958,0.0182,0.01858,0.01631,0.07168,0.01729,0.01902,0.06243,0.01917
1310.26947,0.01915,0.0179,0.01816,0.01595,0.07139,0.01699,0.0186,0.06224,0.01891
1308.20929,0.01865,0.0175,0.01775,0.01557,0.071,0.0166,0.01812,0.0621,0.01844
1306.14912,0.01807,0.01708,0.0173,0.01524,0.07053,0.01614,0.01761,0.0618,0.0178
1304.08895,0.01747,0.01657,0.01668,0.01489,0.07007,0.01563,0.01715,0.06137,0.01706
1302.02878,0.01699,0.01595,0.016,0.01443,0.0697,0.0151,0.01669,0.06099,0.0164
1299.96861,0.01657,0.01545,0.01558,0.01396,0.06942,0.01463,0.01626,0.06072,0.01594
1297.90843,0.01616,0.01512,0.01544,0.01364,0.06918,0.01431,0.01595,0.06052,0.01556
1295.84826,0.0159,0.01484,0.01523,0.01354,0.069,0.01421,0.01573,0.06033,0.01537
1293.78809,0.01594,0.01474,0.01504,0.01362,0.06899,0.0143,0.01565,0.06023,0.01554
1291.72792,0.01622,0.01492,0.01519,0.01376,0.06923,0.01444,0.01579,0.06036,0.01588
1289.66775,0.0165,0.01522,0.01554,0.01391,0.06959,0.01451,0.01603,0.0607,0.01606
1287.60757,0.01663,0.01545,0.0158,0.01401,0.06993,0.01463,0.01623,0.06106,0.01613
1285.5474,0.01671,0.01554,0.01595,0.01412,0.07018,0.01483,0.01638,0.0613,0.0162
1283.48723,0.01688,0.01564,0.01606,0.0143,0.0704,0.01506,0.01662,0.06153,0.01628
1281.42706,0.01703,0.0158,0.01616,0.01448,0.07066,0.01524,0.01689,0.06175,0.01639
1279.36688,0.01713,0.01595,0.0162,0.01463,0.07099,0.01526,0.01692,0.06184,0.01662
1277.30671,0.01725,0.01609,0.01626,0.01477,0.07126,0.01521,0.01681,0.06177,0.01691
1275.24654,0.01742,0.01629,0.0164,0.01486,0.07145,0.01532,0.01689,0.06182,0.01713
1273.18637,0.01775,0.01648,0.01657,0.01493,0.07175,0.01553,0.01718,0.06222,0.01724
1271.1262,0.01817,0.01664,0.01679,0.01511,0.07225,0.0158,0.01754,0.06274,0.01738
1269.06602,0.01857,0.01697,0.0172,0.01551,0.07277,0.01614,0.01793,0.06312,0.01773
1267.00585,0.01914,0.01751,0.01789,0.01607,0.07328,0.0167,0.01846,0.06358,0.01831
1264.94568,0.01997,0.01808,0.01864,0.01669,0.07395,0.01746,0.01914,0.06421,0.01897
1262.88551,0.0209,0.01869,0.01927,0.01729,0.07484,0.01819,0.01989,0.06487,0.01971
1260.82534,0.02174,0.01932,0.01984,0.0179,0.07579,0.01879,0.02066,0.06545,0.02049
1258.76516,0.02231,0.01991,0.02043,0.01852,0.07652,0.01926,0.02131,0.066,0.02115
1256.70499,0.02268,0.0205,0.02106,0.01908,0.07705,0.01972,0.02179,0.0666,0.0217
1254.64482,0.023,0.02105,0.02168,0.01955,0.07757,0.02025,0.02224,0.0671,0.02226
1252.58465,0.02332,0.02149,0.02218,0.01993,0.07807,0.02075,0.0227,0.06747,0.02278
1250.52447,0.02376,0.02189,0.02249,0.02017,0.07854,0.02107,0.02314,0.06794,0.02316
1248.4643,0.02428,0.02224,0.02278,0.02035,0.07905,0.02119,0.0236,0.06839,0.0234
1246.40413,0.02457,0.0224,0.02308,0.02048,0.07947,0.02128,0.02397,0.06859,0.0236
1244.34396,0.0246,0.02246,0.02332,0.02054,0.07967,0.02142,0.02415,0.06865,0.02383
1242.28379,0.02467,0.02259,0.02349,0.02057,0.07968,0.02159,0.02418,0.06877,0.02406
1240.22361,0.0248,0.02267,0.02356,0.02063,0.07972,0.02171,0.02416,0.06892,0.02416
1238.16344,0.02465,0.02262,0.02354,0.02066,0.07989,0.02164,0.0241,0.06897,0.02408
1236.10327,0.02427,0.02249,0.02329,0.02056,0.07983,0.02132,0.024,0.06883,0.0238
1234.0431,0.02385,0.02217,0.02274,0.02028,0.07936,0.0208,0.02376,0.06851,0.0233
1231.98293,0.02339,0.02168,0.02202,0.01983,0.07867,0.02017,0.02322,0.06816,0.02257
1229.92275,0.02282,0.02105,0.0213,0.01922,0.07802,0.01954,0.02243,0.06777,0.02166
1227.86258,0.02201,0.02023,0.02056,0.01846,0.07736,0.01901,0.02154,0.0672,0.02078
1225.80241,0.02091,0.01935,0.0197,0.01764,0.07649,0.01834,0.02057,0.06646,0.0199
1223.74224,0.01971,0.01848,0.01873,0.01684,0.07558,0.01738,0.01958,0.06573,0.0189
1221.68207,0.01851,0.0175,0.01778,0.01584,0.07477,0.01635,0.01864,0.065,0.01788
1219.62189,0.01725,0.01644,0.01681,0.01459,0.07388,0.01531,0.01755,0.06412,0.0169
1217.56172,0.01597,0.01538,0.01567,0.01338,0.07278,0.01417,0.0162,0.06311,0.01585
1215.50155,0.01477,0.01424,0.01448,0.01243,0.07156,0.01308,0.01487,0.06216,0.01464
1213.44138,0.01364,0.01313,0.01332,0.01161,0.07047,0.01216,0.01374,0.06133,0.01326
1211.3812,0.01246,0.01218,0.01217,0.01072,0.06955,0.01127,0.01267,0.06059,0.01191
1209.32103,0.0112,0.01123,0.01104,0.00973,0.06861,0.01024,0.01156,0.05991,0.01083
1207.26086,0.01,0.01023,0.01004,0.00869,0.06755,0.00914,0.01044,0.05908,0.00988
1205.20069,0.00893,0.00919,0.00911,0.00767,0.06646,0.00812,0.00938,0.05803,0.0088
