3996.73391,0.00000
3994.67373,0.00030
3992.61356,0.00057
3990.55339,0.00078
3988.49322,0.00085
3986.43305,0.00075
3984.37287,0.00053
3982.31270,0.00032
3980.25253,0.00021
3978.19236,0.00019
3976.13219,0.00023
3974.07201,0.00033
3972.01184,0.00045
3969.95167,0.00053
3967.89150,0.00054
3965.83133,0.00052
3963.77115,0.00053
3961.71098,0.00058
3959.65081,0.00062
3957.59064,0.00065
3955.53046,0.00070
3953.47029,0.00072
3951.41012,0.00070
3949.34995,0.00063
3947.28978,0.00058
3945.22960,0.00057
3943.16943,0.00061
3941.10926,0.00068
3939.04909,0.00075
3936.98892,0.00080
3934.92874,0.00085
3932.86857,0.00087
3930.80840,0.00083
3928.74823,0.00071
3926.68805,0.00056
3924.62788,0.00041
3922.56771,0.00029
3920.50754,0.00027
3918.44737,0.00041
3916.38719,0.00064
3914.32702,0.00082
3912.26685,0.00087
3910.20668,0.00079
3908.14651,0.00059
3906.08633,0.00039
3904.02616,0.00036
3901.96599,0.00053
3899.90582,0.00074
3897.84565,0.00089
3895.78547,0.00097
3893.72530,0.00100
3891.66513,0.00098
3889.60496,0.00091
3887.54478,0.00079
3885.48461,0.00065
3883.42444,0.00056
3881.36427,0.00059
3879.30410,0.00074
3877.24392,0.00088
3875.18375,0.00087
3873.12358,0.00069
3871.06341,0.00039
3869.00324,0.00013
3866.94306,0.00006
3864.88289,0.00023
3862.82272,0.00056
3860.76255,0.00086
3858.70237,0.00098
3856.64220,0.00098
3854.58203,0.00099
3852.52186,0.00110
3850.46169,0.00127
3848.40151,0.00141
3846.34134,0.00143
3844.28117,0.00128
3842.22100,0.00100
3840.16083,0.00071
3838.10065,0.00059
3836.04048,0.00072
3833.98031,0.00099
3831.92014,0.00122
3829.85997,0.00129
3827.79979,0.00123
3825.73962,0.00107
3823.67945,0.00087
3821.61928,0.00074
3819.55910,0.00074
3817.49893,0.00083
3815.43876,0.00090
3813.37859,0.00086
3811.31842,0.00072
3809.25824,0.00057
3807.19807,0.00054
3805.13790,0.00066
3803.07773,0.00086
3801.01756,0.00109
3798.95738,0.00123
3796.89721,0.00119
3794.83704,0.00101
3792.77687,0.00083
3790.71670,0.00074
3788.65652,0.00075
3786.59635,0.00079
3784.53618,0.00075
3782.47601,0.00060
3780.41583,0.00048
3778.35566,0.00045
3776.29549,0.00051
3774.23532,0.00057
3772.17515,0.00064
3770.11497,0.00073
3768.05480,0.00087
3765.99463,0.00104
3763.93446,0.00119
3761.87429,0.00127
3759.81411,0.00123
3757.75394,0.00112
3755.69377,0.00101
3753.63360,0.00098
3751.57342,0.00103
3749.51325,0.00105
3747.45308,0.00097
3745.39291,0.00086
3743.33274,0.00081
3741.27256,0.00076
3739.21239,0.00068
3737.15222,0.00064
3735.09205,0.00074
3733.03188,0.00091
3730.97170,0.00093
3728.91153,0.00071
3726.85136,0.00039
3724.79119,0.00016
3722.73102,0.00014
3720.67084,0.00026
3718.61067,0.00044
3716.55050,0.00063
3714.49033,0.00077
3712.43015,0.00083
3710.36998,0.00080
3708.30981,0.00071
3706.24964,0.00061
3704.18947,0.00062
3702.12929,0.00074
3700.06912,0.00086
3698.00895,0.00083
3695.94878,0.00064
3693.88861,0.00042
3691.82843,0.00029
3689.76826,0.00031
3687.70809,0.00039
3685.64792,0.00044
3683.58775,0.00045
3681.52757,0.00041
3679.46740,0.00034
3677.40723,0.00025
3675.34706,0.00019
3673.28688,0.00025
3671.22671,0.00043
3669.16654,0.00067
3667.10637,0.00086
3665.04620,0.00092
3662.98602,0.00095
3660.92585,0.00102
3658.86568,0.00115
3656.80551,0.00130
3654.74534,0.00149
3652.68516,0.00173
3650.62499,0.00195
3648.56482,0.00204
3646.50465,0.00196
3644.44447,0.00180
3642.38430,0.00169
3640.32413,0.00168
3638.26396,0.00172
3636.20379,0.00174
3634.14361,0.00174
3632.08344,0.00179
3630.02327,0.00197
3627.96310,0.00225
3625.90293,0.00252
3623.84275,0.00273
3621.78258,0.00288
3619.72241,0.00303
3617.66224,0.00324
3615.60207,0.00346
3613.54189,0.00361
3611.48172,0.00364
3609.42155,0.00358
3607.36138,0.00357
3605.30120,0.00367
3603.24103,0.00386
3601.18086,0.00408
3599.12069,0.00432
3597.06052,0.00462
3595.00034,0.00498
3592.94017,0.00535
3590.88000,0.00567
3588.81983,0.00590
3586.75966,0.00606
3584.69948,0.00616
3582.63931,0.00623
3580.57914,0.00633
3578.51897,0.00646
3576.45879,0.00663
3574.39862,0.00680
3572.33845,0.00701
3570.27828,0.00727
3568.21811,0.00760
3566.15793,0.00792
3564.09776,0.00816
3562.03759,0.00835
3559.97742,0.00862
3557.91725,0.00902
3555.85707,0.00945
3553.79690,0.00984
3551.73673,0.01014
3549.67656,0.01033
3547.61639,0.01048
3545.55621,0.01072
3543.49604,0.01109
3541.43587,0.01156
3539.37570,0.01198
3537.31552,0.01229
3535.25535,0.01252
3533.19518,0.01269
3531.13501,0.01285
3529.07484,0.01302
3527.01466,0.01326
3524.95449,0.01358
3522.89432,0.01398
3520.83415,0.01442
3518.77398,0.01485
3516.71380,0.01524
3514.65363,0.01552
3512.59346,0.01571
3510.53329,0.01586
3508.47312,0.01604
3506.41294,0.01627
3504.35277,0.01655
3502.29260,0.01685
3500.23243,0.01714
3498.17225,0.01739
3496.11208,0.01762
3494.05191,0.01782
3491.99174,0.01802
3489.93157,0.01822
3487.87139,0.01844
3485.81122,0.01868
3483.75105,0.01894
3481.69088,0.01927
3479.63071,0.01966
3477.57053,0.02004
3475.51036,0.02034
